Инструмент;Рейтинг;Цена;Изм. %24ч;Рын. кап.;Объём USD 24ч;Циркул. предложение;Объём / Рын. капитализ.;Доминация в соцсетях %;Категория;Тех. рейтинг
BTC;1;84 337,93 USD;+0,41%;1,69 T USD;37,75 B USD;20,09 M;0,0223;26,81%;Криптовалюты, Сеть уровня 1;Покупать
ETH;2;2 682,58 USD;+0,91%;327,48 B USD;13,22 B USD;122,08 M;0,0404;10,41%;Платформы смарт-контрактов, Сеть уровня 1, Портфель World Liberty Financial;Покупать
USDT;3;0,99967 USD;−0,01%;183,48 B USD;81,96 B USD;183,54 B;0,4467;0,26%;Стейблкоины, Обеспеченные стейблкоины, Фиатно-обеспеченные стейблкоины, Портфель World Liberty Financial;Нейтрально
BNB;4;780,03 USD;+1,92%;103,87 B USD;1,6 B USD;133,16 M;0,0154;0,34%;Платформы смарт-контрактов, Централизованные биржи, Сеть уровня 1, Биржевые токены, Сделано в Китае;Покупать
XRP;5;1,5390 USD;+2,78%;96,77 B USD;4,66 B USD;62,88 B;0,0481;2,93%;Криптовалюты, Корпоративные решения, Сеть уровня 1, Сделано в США, ISO 20022;Покупать
USDC;6;1,00000 USD;+0,01%;75,23 B USD;17,71 B USD;75,23 B;0,2354;2,26%;Стейблкоины, Обеспеченные стейблкоины, Сделано в США, Фиатно-обеспеченные стейблкоины, Портфель World Liberty Financial;Активно покупать
SOL;7;117,13 USD;+2,63%;68,82 B USD;3,82 B USD;587,58 M;0,0555;12,59%;Платформы смарт-контрактов, Сеть уровня 1, Сделано в США;Покупать
TRX;8;0,34097 USD;+0,44%;32,38 B USD;525,09 M USD;94,97 B;0,0162;0,12%;Платформы смарт-контрактов, Платежи, Сеть уровня 1, Портфель World Liberty Financial, Сделано в Китае;Покупать
ZEC;9;1 556,08 USD;+2,29%;26,27 B USD;1,31 B USD;16,88 M;0,0497;2,98%;Приватные, Криптовалюты, Сеть уровня 1, Сделано в США;Покупать
HYPE;10;93,797 USD;+0,77%;23,57 B USD;1,23 B USD;251,26 M;0,0521;2,38%;Децентрализованные биржи, Деривативы, Сеть уровня 1, Биржевые токены, Бессрочные контракты;Покупать
