Инструмент;Рейтинг;Цена;Изм. %24ч;Рын. кап.;Объём USD 24ч;Циркул. предложение;Объём / Рын. капитализ.;Доминация в соцсетях %;Категория;Тех. рейтинг
BTC;1;85 734,91 USD;+2,11%;1,72 T USD;59,4 B USD;20,09 M;0,0345;27,09%;Криптовалюты, Сеть уровня 1;Покупать
ETH;2;2 733,96 USD;+1,21%;333,74 B USD;25,14 B USD;122,07 M;0,0753;10,54%;Платформы смарт-контрактов, Сеть уровня 1, Портфель World Liberty Financial;Покупать
USDT;3;0,99971 USD;−0,01%;183,33 B USD;123,25 B USD;183,38 B;0,6723;0,28%;Стейблкоины, Обеспеченные стейблкоины, Фиатно-обеспеченные стейблкоины, Портфель World Liberty Financial;Покупать
BNB;4;783,96 USD;+0,42%;104,39 B USD;2,67 B USD;133,16 M;0,0256;0,31%;Платформы смарт-контрактов, Централизованные биржи, Сеть уровня 1, Биржевые токены, Сделано в Китае;Покупать
XRP;5;1,5320 USD;+3,96%;96,33 B USD;7,34 B USD;62,88 B;0,0762;2,82%;Криптовалюты, Корпоративные решения, Сеть уровня 1, Сделано в США, ISO 20022;Покупать
USDC;6;0,99995 USD;+0,01%;74,72 B USD;24,14 B USD;74,73 B;0,3231;2,06%;Стейблкоины, Обеспеченные стейблкоины, Сделано в США, Фиатно-обеспеченные стейблкоины, Портфель World Liberty Financial;Покупать
SOL;7;116,78 USD;+1,26%;68,61 B USD;6,98 B USD;587,51 M;0,1017;12,85%;Платформы смарт-контрактов, Сеть уровня 1, Сделано в США;Покупать
TRX;8;0,34847 USD;+1,27%;33,09 B USD;582,4 M USD;94,96 B;0,0176;0,11%;Платформы смарт-контрактов, Платежи, Сеть уровня 1, Портфель World Liberty Financial, Сделано в Китае;Активно покупать
ZEC;9;1 492,82 USD;−1,34%;25,2 B USD;1,33 B USD;16,88 M;0,0527;4,33%;Приватные, Криптовалюты, Сеть уровня 1, Сделано в США;Покупать
HYPE;10;94,740 USD;−0,72%;23,82 B USD;1,3 B USD;251,37 M;0,0547;2,04%;Децентрализованные биржи, Деривативы, Сеть уровня 1, Биржевые токены, Бессрочные контракты;Покупать
DOGE;11;0,098513 USD;+7,34%;16,92 B USD;4,03 B USD;171,73 B;0,2382;1,07%;Мемы, Криптовалюты, Сеть уровня 1, Сделано в США, Мемы с животными;Активно покупать
XMR;12;567,66 USD;−2,23%;10,68 B USD;256,04 M USD;18,81 M;0,0240;0,24%;Приватные, Криптовалюты, Сеть уровня 1;Покупать
