Инструмент;Рейтинг;Цена;Изм. %24ч;Рын. кап.;Объём USD 24ч;Циркул. предложение;Объём / Рын. капитализ.;Доминация в соцсетях %;Категория;Тех. рейтинг
BTC;1;75 773,78 USD;−1,51%;1,52 T USD;38,93 B USD;20,09 M;0,0256;28,57%;Криптовалюты, Сеть уровня 1;Нейтрально
ETH;2;2 400,21 USD;−2,99%;292,95 B USD;19,33 B USD;122,05 M;0,0660;10,88%;Платформы смарт-контрактов, Сеть уровня 1, Портфель World Liberty Financial;Нейтрально
USDT;3;0,99911 USD;−0,05%;183,28 B USD;80,69 B USD;183,44 B;0,4403;0,28%;Стейблкоины, Обеспеченные стейблкоины, Фиатно-обеспеченные стейблкоины, Портфель World Liberty Financial;Активно продавать
BNB;4;707,09 USD;−1,41%;94,16 B USD;1,53 B USD;133,16 M;0,0162;0,27%;Платформы смарт-контрактов, Централизованные биржи, Сеть уровня 1, Биржевые токены, Сделано в Китае;Покупать
XRP;5;1,2850 USD;−8,03%;80,8 B USD;6,68 B USD;62,88 B;0,0827;3,38%;Криптовалюты, Корпоративные решения, Сеть уровня 1, Сделано в США, ISO 20022;Продавать
USDC;6;1,0000 USD;−0,01%;73,73 B USD;19,52 B USD;73,73 B;0,2647;2,48%;Стейблкоины, Обеспеченные стейблкоины, Сделано в США, Фиатно-обеспеченные стейблкоины, Портфель World Liberty Financial;Покупать
SOL;7;97,040 USD;−3,61%;56,97 B USD;3,77 B USD;587,06 M;0,0663;14,41%;Платформы смарт-контрактов, Сеть уровня 1, Сделано в США;Нейтрально
TRX;8;0,33462 USD;−1,02%;31,77 B USD;521,84 M USD;94,95 B;0,0164;0,12%;Платформы смарт-контрактов, Платежи, Сеть уровня 1, Портфель World Liberty Financial, Сделано в Китае;Нейтрально
ZEC;9;1 185,88 USD;+3,69%;20,01 B USD;1,17 B USD;16,87 M;0,0584;2,18%;Приватные, Криптовалюты, Сеть уровня 1, Сделано в США;Покупать
HYPE;10;77,717 USD;−1,37%;19,56 B USD;858,65 M USD;251,63 M;0,0439;1,61%;Децентрализованные биржи, Деривативы, Сеть уровня 1, Биржевые токены, Бессрочные контракты;Покупать
DOGE;11;0,079580 USD;−3,71%;12,41 B USD;1,01 B USD;155,94 B;0,0813;0,95%;Мемы, Криптовалюты, Сеть уровня 1, Сделано в США, Мемы с животными;Продавать
XMR;12;504,18 USD;−2,86%;9,48 B USD;120,01 M USD;18,81 M;0,0127;0,14%;Приватные, Криптовалюты, Сеть уровня 1;Покупать
LEO;13;8,8670 USD;−1,06%;8,16 B USD;345,76 K USD;919,86 M;0,0000;0,00%;Централизованные биржи, Платежи, Биржевые токены;Продавать
LINK;14;10,791 USD;−5,17%;8,07 B USD;419,69 M USD;748,1 M;0,0520;0,80%;Приватные, Криптовалюты, Платформы смарт-контрактов, Инструменты разработки, Оракулы, Рынки предсказаний, Интернет вещей, Управление данными и ИИ, Личные данные, NFT и коллекционные, Займы и кредиты, Управление активами, Деривативы, Страхование, Интероперабельность, Масштабирование, Корпоративные решения, Платежи, Энергетика, DeFi, Аналитика, Метавселенная, Кибербезопасность, Электронная коммерция, Спорт, Услуги в сфере недвижимости, Web3, DePIN, Сделано в США, Real-world assets (RWA), Портфель World Liberty Financial, ISO 20022;Нейтрально
ADA;15;0,19359 USD;−5,42%;7,11 B USD;498,23 M USD;36,74 B;0,0700;0,77%;Платформы смарт-контрактов, Сеть уровня 1, Сделано в США, ISO 20022;Активно продавать
XLM;16;0,17434 USD;−9,59%;6,07 B USD;412,08 M USD;34,84 B;0,0678;0,19%;Криптовалюты, Платформы смарт-контрактов, Сеть уровня 1, Сделано в США, Real-world assets (RWA), Биржевые токены, ISO 20022;Активно продавать
USDE;17;0,99935 USD;−0,05%;4,71 B USD;60,5 M USD;4,71 B;0,0128;0,02%;Стейблкоины, Обеспеченные стейблкоины;Активно продавать
DAI;18;0,99989 USD;+0,01%;4,59 B USD;36,24 M USD;4,59 B;0,0079;0,01%;Стейблкоины, Обеспеченные стейблкоины, DeFi;Продавать
BCH;19;218,10 USD;−1,58%;4,38 B USD;177,62 M USD;20,09 M;0,0405;0,10%;Криптовалюты, Сеть уровня 1, Сделано в США;Продавать
USD1;20;0,99928 USD;−0,05%;4,32 B USD;1,12 B USD;4,32 B;0,2584;—;Стейблкоины, Обеспеченные стейблкоины, Сделано в США, Портфель World Liberty Financial;Активно продавать
LTC;21;50,806 USD;−3,48%;3,94 B USD;244,87 M USD;77,61 M;0,0621;0,41%;Приватные, Криптовалюты, Сеть уровня 1, Сделано в США;Продавать
UNI;22;6,2807 USD;−4,67%;3,9 B USD;743,94 M USD;621,31 M;0,1906;0,20%;Децентрализованные биржи, DeFi, DAO, Сделано в США, Биржевые токены;Покупать
GRAM;23;1,3131 USD;−2,09%;3,67 B USD;47,93 M USD;2,79 B;0,0131;0,02%;Сеть уровня 1;Активно продавать
CC;24;0,091091 USD;−4,28%;3,61 B USD;13,74 M USD;39,6 B;0,0038;—;Приватные, Криптовалюты, Платформы смарт-контрактов, Интероперабельность, Масштабирование, Корпоративные решения, Сеть уровня 1;Продавать
USDG;25;0,99960 USD;−0,04%;3,28 B USD;999,42 M USD;3,29 B;0,3043;0,04%;Стейблкоины, Обеспеченные стейблкоины;Продавать
HBAR;26;0,074384 USD;−4,11%;3,26 B USD;85,64 M USD;43,83 B;0,0263;0,10%;Платформы смарт-контрактов, Корпоративные решения, DeFi, Сеть уровня 1, Сделано в США, Real-world assets (RWA), ISO 20022;Продавать
AVAX;27;7,2328 USD;−3,74%;3,2 B USD;377,09 M USD;442,82 M;0,1177;0,21%;Платформы смарт-контрактов, Сеть уровня 1, Сделано в США, Real-world assets (RWA), Портфель World Liberty Financial;Продавать
NEAR;28;2,3717 USD;−0,48%;3,1 B USD;386,96 M USD;1,31 B;0,1249;0,26%;Платформы смарт-контрактов, Управление данными и ИИ, Интероперабельность, Сеть уровня 1, Сделано в США;Покупать
SHIB;29;0,48582e-5 USD;−5,80%;2,86 B USD;77,12 M USD;589,24 T;0,0269;0,22%;Мемы, Криптовалюты, Мемы с животными;Продавать
PYUSD;30;0,99935 USD;−0,03%;2,83 B USD;88,8 M USD;2,84 B;0,0313;0,01%;Стейблкоины, Обеспеченные стейблкоины, Фиатно-обеспеченные стейблкоины;Активно продавать
SUI;31;0,68660 USD;−3,15%;2,81 B USD;536,19 M USD;4,1 B;0,1906;0,29%;Платформы смарт-контрактов, Инструменты разработки, Масштабирование, Сеть уровня 1, Сделано в США, Портфель World Liberty Financial;Продавать
XAUT;32;4 328,27 USD;+1,40%;2,7 B USD;174,48 M USD;622,82 K;0,0647;0,03%;Real-world assets (RWA);Продавать
CRO;33;0,054862 USD;−4,41%;2,66 B USD;8,31 M USD;48,56 B;0,0031;0,47%;Платформы смарт-контрактов, Централизованные биржи, Платежи, Сеть уровня 1, Биржевые токены;Продавать
M;34;1,1007 USD;−1,01%;2,5 B USD;2,4 M USD;2,27 B;0,0010;0,00%;Мемы, Сеть уровня 1;Продавать
TAO;35;214,84 USD;−5,18%;2,47 B USD;203,51 M USD;11,52 M;0,0822;0,57%;Распред. вычисления и хранение, Оракулы, Управление данными и ИИ, DAO, Сеть уровня 1, DePIN;Активно продавать
RLUSD;36;1,0001 USD;−0,01%;2,34 B USD;407,26 M USD;2,34 B;0,1737;0,02%;Стейблкоины, Обеспеченные стейблкоины, Фиатно-обеспеченные стейблкоины;Покупать
OKB;37;109,80 USD;−2,30%;2,31 B USD;25,53 M USD;21 M;0,0111;0,21%;Сеть уровня 1, Сделано в Китае;Нейтрально
PAXG;38;4 332,95 USD;+1,48%;1,88 B USD;206,15 M USD;434,5 K;0,1095;0,02%;Real-world assets (RWA);Продавать
AAVE;39;118,81 USD;−6,67%;1,83 B USD;279,16 M USD;15,43 M;0,1523;0,09%;Займы и кредиты, DeFi, DAO, Сделано в США, Портфель World Liberty Financial;Продавать
WLFI;40;0,057008 USD;−0,51%;1,81 B USD;48,88 M USD;31,78 B;0,0270;0,12%;DeFi, Сделано в США;Нейтрально
ASTER;41;0,66970 USD;−2,53%;1,81 B USD;76,43 M USD;2,7 B;0,0422;0,07%;Децентрализованные биржи, Деривативы, DeFi, Биржевые токены, Сделано в Китае, Бессрочные контракты;Продавать
MNT;42;0,54271 USD;−2,66%;1,79 B USD;29,26 M USD;3,3 B;0,0163;0,01%;Масштабирование, DeFi, DAO, Сделано в Китае;Продавать
PUMP;43;0,0035117 USD;−2,92%;1,64 B USD;152,14 M USD;468,27 B;0,0925;4,06%;—;Нейтрально
DOT;44;0,94505 USD;−4,29%;1,61 B USD;140,23 M USD;1,7 B;0,0871;0,13%;Платформы смарт-контрактов, Сеть уровня 1;Продавать
ONDO;45;0,32589 USD;−6,38%;1,59 B USD;129,2 M USD;4,87 B;0,0814;0,07%;Сделано в США, Real-world assets (RWA), Портфель World Liberty Financial;Активно продавать
USDD;46;0,99863 USD;−0,11%;1,51 B USD;5,03 M USD;1,51 B;0,0033;0,03%;Стейблкоины, Обеспеченные стейблкоины, Алгоритмические стейблкоины, Сделано в Китае;Активно продавать
ENA;47;0,14072 USD;−1,31%;1,42 B USD;372,93 M USD;10,1 B;0,2625;0,12%;DeFi, Портфель World Liberty Financial;Покупать
ICP;48;2,4897 USD;−3,77%;1,39 B USD;54,69 M USD;556,87 M;0,0394;0,22%;Платформы смарт-контрактов, Управление данными и ИИ, DeFi, Сеть уровня 1, DePIN;Продавать
PEPE;49;0,33658e-5 USD;−1,75%;1,39 B USD;223,8 M USD;413,77 T;0,1607;0,40%;Мемы;Продавать
SKY;50;0,058939 USD;−6,05%;1,38 B USD;16,56 M USD;23,42 B;0,0120;0,02%;Криптовалюты, Займы и кредиты, DeFi, DAO, Real-world assets (RWA);Активно продавать
U;51;0,99958 USD;−0,04%;1,38 B USD;268,36 M USD;1,38 B;0,1951;—;Стейблкоины, Обеспеченные стейблкоины;Покупать
BGB;52;1,9045 USD;−1,21%;1,33 B USD;12,49 M USD;697,99 M;0,0094;0,00%;Централизованные биржи, Биржевые токены, Сделано в Китае;Покупать
WLD;53;0,36181 USD;−3,39%;1,3 B USD;169,71 M USD;3,6 B;0,1304;0,05%;Личные данные, Сделано в США;Продавать
